3
       Date  STEO.RNNIPUS.Q  STEO.PAIMPORT.Q  STEO.UONIPUS.Q
0    2016Q4        0.017678         3.289006        0.400227
1    2016Q3        0.011984         4.009990        0.468656
2    2016Q2        0.016685         4.225766        0.507864
3    2016Q1        0.016392         3.879170        0.378888
4    2015Q4        0.017879         3.861324        0.384558
5    2015Q3        0.013615         4.367515        0.454980
6    2015Q2        0.016685         4.511759        0.504943
7    2015Q1        0.020828         4.558571        0.395175
8    2014Q4        0.025899         4.624255        0.345408
9    2014Q3        0.018950         4.984249        0.321260
10   2014Q2        0.009528         5.179868        0.487361
11   2014Q1        0.010718         5.383308        0.461203
12   2013Q4        0.055879         5.295742        0.422021
13   2013Q3        0.018932         6.460017        0.643016
14   2013Q2        0.008413         6.641803        0.597336
15   2013Q1        0.008335         6.563697        0.517802
16   2012Q4        0.001176         6.523177        0.649152
17   2012Q3       -0.008031         7.557928        0.612913
18   2012Q2       -0.005932         7.820057        0.604186
19   2012Q1       -0.004696         7.679120        0.523857
20   2011Q4       -0.000478         7.734086        0.654608
21   2011Q3       -0.003049         8.283066        0.693348
22   2011Q2       -0.004963         8.946603        0.694593
23   2011Q1       -0.005325         8.851591        0.705810
24   2010Q4        0.005804         8.549988        0.676684
25   2010Q3        0.003174         9.865032        0.654750
26   2010Q2        0.004945         9.989075        0.571230
27   2010Q1        0.008077         9.362897        0.519610
28   2009Q4        0.006706         8.752781        0.574347
29   2009Q3        0.004184         9.395954        0.714782
..      ...             ...              ...             ...
78   1997Q2        0.000000         9.547485        0.395615
79   1997Q1        0.000000         8.741425        0.339700
80   1996Q4        0.000000         8.541209        0.367239
81   1996Q3        0.000000         8.587227        0.350293
82   1996Q2        0.000000         8.766629        0.399967
83   1996Q1        0.000000         8.099492        0.351121
84   1995Q4        0.000000         7.747999        0.363109
85   1995Q3        0.000000         8.345007        0.380750
86   1995Q2        0.000000         7.964848        0.318209
87   1995Q1        0.000000         7.628284        0.331433
88   1994Q4        0.000000         7.678230        0.402043
89   1994Q3        0.000000         8.691358        0.408087
90   1994Q2        0.000000         8.188189        0.410582
91   1994Q1        0.000000         7.510595        0.431956
92   1993Q4        0.000000         7.898795        0.493261
93   1993Q3        0.000000         7.901891        0.510522
94   1993Q2        0.000000         7.658380        0.465407
95   1993Q1        0.000000         7.058777        0.495311
96   1992Q4        0.000000         7.130494        0.406446
97   1992Q3        0.000000         7.382049        0.482033
98   1992Q2        0.000000         7.008217        0.463451
99   1992Q1        0.000000         6.350732        0.420330
100  1991Q4        0.000000         6.471359        0.414141
101  1991Q3        0.000000         7.196020        0.495478
102  1991Q2        0.000000         7.035654        0.388791
103  1991Q1        0.000000         5.859750        0.352089
104  1990Q4        0.000000         5.594418        0.456228
105  1990Q3        0.000000         7.511321        0.373804
106  1990Q2        0.000000         7.779770        0.412791
107  1990Q1        0.000000         7.529976        0.410644

[108 rows x 4 columns]
